ct_pickup,n_pooled,shared_ride_ids,avg_trip_distance,avg_fare_amount,avg_trip_time_in_secs,total_passengers,n_shared_rides,pooled_fraction,period_id
1009200,4,"[[318371, 303431], [294914, 2821575], [1804954, 284549], [279197, 285617]]",1.0825,6.25,361.0,14,8,0.034782608695652174,0_00_
1009600,2,"[[285009, 1055186], [279457, 22]]",0.8300000000000001,5.0,255.5,4,4,0.017391304347826087,0_00_
1009800,1,"[[1057262, 293702]]",1.465,8.0,517.5,2,2,0.008695652173913044,0_00_
1010000,4,"[[279417, 283208], [2473675, 279517], [1799401, 38], [278842, 1087648]]",1.15875,6.375,355.625,11,8,0.034782608695652174,0_00_
1010100,9,"[[1095322, 1056835], [2473525, 1800646], [2821523, 2473494], [286532, 1821443], [1095320, 1846601], [279186, 1078578], [1077347, 1793269], [279510, 1800002], [1800129, 1115575]]",2.1166666666666667,10.0,652.0,23,18,0.0782608695652174,0_00_
1010400,1,"[[1819339, 1808488]]",1.4,6.5,330.0,2,2,0.008695652173913044,0_00_
1011100,1,"[[1056365, 1803884]]",0.8,4.75,223.5,2,2,0.008695652173913044,0_00_
1011203,1,"[[286533, 1846611]]",0.88,6.25,376.0,2,2,0.008695652173913044,0_00_
1011300,5,"[[292349, 1798938], [303759, 316161], [283512, 1799395], [1793375, 2473500], [309868, 292679, 1086028]]",1.8696666666666666,8.85,542.9333333333333,21,11,0.043478260869565216,0_00_
1011401,2,"[[1078507, 309886], [292251, 1804481]]",0.72,5.5,289.0,8,4,0.017391304347826087,0_00_
1011500,2,"[[1805498, 1847294], [284892, 1804705]]",1.46,7.125,392.0,9,4,0.017391304347826087,0_00_
1011800,1,"[[292991, 293002, 1804968]]",1.7599999999999998,8.333333333333334,459.6666666666667,7,3,0.008695652173913044,0_00_
1011900,2,"[[278988, 2473491], [280590, 1078596]]",1.7375000000000003,7.75,432.25,8,4,0.017391304347826087,0_00_
1012101,1,"[[279332, 1804186]]",0.855,5.75,319.5,4,2,0.008695652173913044,0_00_
1012102,2,"[[1803801, 1821455], [1086000, 284067]]",1.33,6.75,388.75,10,4,0.017391304347826087,0_00_
1012500,5,"[[8, 283252], [1847373, 1799515], [285629, 2821590], [1800592, 1057137], [279402, 2473689]]",1.286,6.85,408.9,17,10,0.043478260869565216,0_00_
1012700,2,"[[1804986, 1079404], [280370, 1804675, 284240, 2821444]]",0.6112500000000001,5.0,277.875,8,6,0.017391304347826087,0_00_
1013100,1,"[[280447, 283507]]",1.01,5.75,300.0,2,2,0.008695652173913044,0_00_
1013300,2,"[[2473703, 278829], [1798851, 2473710]]",1.04,5.75,299.5,6,4,0.017391304347826087,0_00_
1013400,1,"[[1804192, 1057263]]",0.8,4.75,217.0,3,2,0.008695652173913044,0_00_
1013800,1,"[[1088325, 2821447]]",0.9,5.0,208.5,2,2,0.008695652173913044,0_00_
1013900,1,"[[1798985, 279244]]",0.57,4.0,144.0,7,2,0.008695652173913044,0_00_
1014500,1,"[[1793074, 2821473]]",0.8,5.0,222.0,3,2,0.008695652173913044,0_00_
1014700,1,"[[323393, 1805085]]",1.85,9.0,504.5,6,2,0.008695652173913044,0_00_
1014801,1,"[[280698, 278860]]",0.5249999999999999,4.0,120.0,7,2,0.008695652173913044,0_00_
1015302,1,"[[317385, 317349]]",0.88,5.25,270.0,3,2,0.008695652173913044,0_00_
1015900,1,"[[315966, 1078395]]",2.26,9.25,496.5,3,2,0.008695652173913044,0_00_
1017100,2,"[[1798894, 292083], [1805091, 318962]]",3.2424999999999997,13.375,866.25,7,4,0.017391304347826087,0_00_
1017700,1,"[[1846583, 1846808, 284931]]",0.5966666666666667,4.833333333333333,256.0,3,3,0.008695652173913044,0_00_
1001402,1,"[[321387, 1087355]]",0.5549999999999999,4.25,165.0,7,2,0.02702702702702703,0_01_
1001800,1,"[[279108, 1057714]]",2.3600000000000003,9.75,566.5,2,2,0.02702702702702703,0_01_
1003001,1,"[[1056368, 303588]]",1.2,6.0,314.0,6,2,0.02702702702702703,0_01_
1004001,1,"[[1086463, 1087200]]",1.15,6.75,370.0,2,2,0.02702702702702703,0_01_
1004900,1,"[[1088249, 278837, 1056982]]",1.6933333333333334,7.5,395.6666666666667,3,3,0.02702702702702703,0_01_
1006100,1,"[[305817, 1872901]]",0.91,5.75,365.0,3,2,0.02702702702702703,0_01_
1006700,1,"[[279355, 281585]]",1.22,6.0,270.0,6,2,0.02702702702702703,0_01_
1007002,1,"[[1806656, 305598]]",1.815,8.25,469.5,3,2,0.02702702702702703,0_01_
1007700,1,"[[1805088, 1115854]]",1.35,8.5,579.5,3,2,0.02702702702702703,0_01_
1007900,2,"[[1847069, 1863307], [286889, 281980]]",1.895,8.875,567.5,4,4,0.05405405405405406,0_01_
1008000,2,"[[1062303, 1803982], [1819159, 305073, 1872444]]",1.0933333333333333,6.666666666666666,367.25,8,5,0.05405405405405406,0_01_
1008100,2,"[[305072, 1152251], [1056024, 289063]]",1.6575,7.625,416.75,9,4,0.05405405405405406,0_01_
1008200,1,"[[279324, 1846275]]",1.335,6.5,305.5,2,2,0.02702702702702703,0_01_
1008300,1,"[[1819168, 1803971]]",2.45,12.0,853.5,6,2,0.02702702702702703,0_01_
1008400,1,"[[1847077, 1806647]]",0.75,5.0,254.0,4,2,0.02702702702702703,0_01_
1008700,1,"[[1803928, 328306]]",1.625,7.25,370.0,2,2,0.02702702702702703,0_01_
1009500,1,"[[1115586, 306485]]",1.6600000000000001,8.75,554.0,2,2,0.02702702702702703,0_01_
1009901,1,"[[1056585, 1086714]]",2.35,10.25,578.5,2,2,0.02702702702702703,0_01_
1010100,5,"[[305410, 289326, 304948], [305597, 306127], [279652, 306032, 1807647], [1071681, 1086249], [287029, 323128]]",2.864666666666667,11.65,699.9333333333334,20,12,0.13513513513513514,0_01_
1011300,2,"[[281130, 1056984], [1056587, 1846843]]",0.9175000000000001,5.5,237.25,6,4,0.05405405405405406,0_01_
1011600,1,"[[1056023, 1871392]]",1.6,8.5,524.0,4,2,0.02702702702702703,0_01_
1011900,1,"[[294531, 293967]]",1.1,5.5,270.0,2,2,0.02702702702702703,0_01_
1012500,1,"[[1804020, 1803910]]",1.15,6.75,410.5,3,2,0.02702702702702703,0_01_
1012700,1,"[[281333, 1807560]]",0.725,4.75,250.0,6,2,0.02702702702702703,0_01_
1012901,1,"[[323288, 1062074]]",1.76,7.5,404.0,6,2,0.02702702702702703,0_01_
1013100,2,"[[1846592, 287978], [1063120, 279636]]",2.515,10.125,590.0,10,4,0.05405405405405406,0_01_
1013501,1,"[[1071679, 1086248]]",0.7,4.75,209.0,2,2,0.02702702702702703,0_01_
1014900,1,"[[2473672, 318312]]",0.895,5.75,326.5,8,2,0.02702702702702703,0_01_
1001800,1,"[[1117110, 287779]]",0.72,4.5,198.5,4,2,0.041666666666666664,0_02_
1002800,1,"[[279376, 1871762]]",2.22,10.0,646.5,6,2,0.041666666666666664,0_02_
1003002,1,"[[1807341, 1088232]]",0.9,5.5,254.0,3,2,0.041666666666666664,0_02_
1003200,1,"[[326615, 1807343]]",0.61,4.5,197.5,2,2,0.041666666666666664,0_02_
1003700,1,"[[1063958, 1807522]]",1.1,6.25,344.0,2,2,0.041666666666666664,0_02_
1004900,2,"[[293652, 307101], [1062890, 1115574]]",1.4449999999999998,7.125,398.5,5,4,0.08333333333333333,0_02_
1006500,1,"[[1871759, 362173]]",1.5,7.5,402.0,4,2,0.041666666666666664,0_02_
1007300,1,"[[1878177, 1152277]]",1.65,8.25,543.5,3,2,0.041666666666666664,0_02_
1007400,2,"[[347842, 1152491], [1063828, 1807349]]",1.6425,7.375,399.25,12,4,0.08333333333333333,0_02_
1007900,1,"[[332301, 288293]]",2.085,9.0,480.0,6,2,0.041666666666666664,0_02_
1008100,1,"[[346332, 1116724]]",1.275,7.25,386.5,2,2,0.041666666666666664,0_02_
1008300,3,"[[294077, 1806919], [1863315, 283238], [290592, 1062206]]",1.2083333333333333,7.083333333333333,437.5,11,6,0.125,0_02_
1008700,1,"[[1873215, 1118131]]",1.5,8.25,448.5,2,2,0.041666666666666664,0_02_
1010100,1,"[[347019, 297512]]",1.795,7.75,420.0,7,2,0.041666666666666664,0_02_
1012101,1,"[[290649, 1847301]]",1.025,5.25,274.0,7,2,0.041666666666666664,0_02_
1012500,1,"[[1872593, 1878371, 1805044]]",0.5333333333333333,4.5,208.33333333333334,3,3,0.041666666666666664,0_02_
1013700,1,"[[1871404, 282974]]",0.845,4.75,204.5,6,2,0.041666666666666664,0_02_
1013800,1,"[[297504, 1809926]]",0.8049999999999999,5.0,231.5,6,2,0.041666666666666664,0_02_
1015700,1,"[[1808058, 1863302]]",1.3,6.5,334.0,2,2,0.041666666666666664,0_02_
1017300,1,"[[308070, 1152429]]",1.45,7.0,338.5,3,2,0.041666666666666664,0_02_
1001800,1,"[[312943, 312911]]",0.49,3.75,150.0,2,2,0.06666666666666667,0_03_
1003001,1,"[[335979, 281275]]",0.8300000000000001,5.25,270.0,3,2,0.06666666666666667,0_03_
1006500,3,"[[314154, 1064027], [1826634, 282597], [1176400, 1878381]]",1.3949999999999998,7.583333333333333,455.5,17,6,0.2,0_03_
1007900,4,"[[1879473, 1811529], [1878885, 365890], [313411, 1064414], [281743, 1152105]]",1.86375,8.5625,512.625,16,8,0.26666666666666666,0_03_
1008300,3,"[[1152215, 1907863], [350262, 1878803], [292799, 1810295]]",1.07,6.583333333333333,388.5,10,6,0.2,0_03_
1008400,1,"[[313439, 335700]]",1.385,7.0,360.0,2,2,0.06666666666666667,0_03_
1009800,1,"[[1878940, 1823637]]",0.8,5.5,275.0,6,2,0.06666666666666667,0_03_
1011300,1,"[[284594, 307821]]",0.685,4.25,150.0,6,2,0.06666666666666667,0_03_
1003200,1,"[[1819390, 289985]]",1.535,8.0,451.0,5,2,0.125,0_04_
1003700,1,"[[1819276, 1818964]]",3.95,14.5,878.0,2,2,0.125,0_04_
1003800,1,"[[288976, 1820793]]",1.29,7.25,416.0,2,2,0.125,0_04_
1004300,1,"[[1161465, 1819646]]",0.8500000000000001,5.25,268.0,2,2,0.125,0_04_
1009800,1,"[[1819511, 290345]]",1.15,6.5,337.0,2,2,0.125,0_04_
1012101,1,"[[303270, 1065351]]",1.51,7.5,430.0,2,2,0.125,0_04_
1012500,1,"[[1792070, 1161377]]",0.75,5.5,314.5,3,2,0.125,0_04_
1013900,1,"[[1819267, 289139]]",0.92,5.75,355.0,6,2,0.125,0_04_
1004100,1,"[[1908546, 1065082]]",0.65,4.75,221.5,4,2,0.1,0_05_
1006700,1,"[[293177, 1065083]]",0.38,3.75,113.5,2,2,0.1,0_05_
1007600,1,"[[294573, 322935]]",0.7749999999999999,5.0,240.0,8,2,0.1,0_05_
1007900,1,"[[1894605, 1792032]]",1.8,10.0,817.5,3,2,0.1,0_05_
1008300,3,"[[1804232, 299531], [1820797, 1793854], [1819250, 1167759]]",1.5566666666666666,7.916666666666667,504.3333333333333,11,6,0.3,0_05_
1011300,2,"[[328954, 1792172], [293626, 294453]]",0.9724999999999999,5.75,310.75,7,4,0.2,0_05_
1012101,1,"[[1069444, 293675]]",0.6499999999999999,4.75,191.5,7,2,0.1,0_05_
1003700,1,"[[1794981, 1069822, 1791506]]",1.4666666666666668,7.833333333333333,475.0,8,3,0.2,0_06_
1006500,1,"[[1058922, 299263]]",0.6799999999999999,4.75,216.0,2,2,0.2,0_06_
1008100,1,"[[1074717, 298489]]",0.635,4.5,176.0,3,2,0.2,0_06_
1010100,1,"[[1799850, 1907314]]",1.15,15.5,404.5,3,2,0.2,0_06_
1012601,1,"[[1792120, 1804252]]",1.2999999999999998,6.5,303.0,2,2,0.2,0_06_
1003200,1,"[[1800996, 1794964, 1796094]]",0.7999999999999999,5.666666666666667,335.0,3,3,0.14285714285714285,0_07_
1003800,1,"[[1801837, 281784]]",1.185,6.25,343.0,7,2,0.14285714285714285,0_07_
1004700,1,"[[284166, 283891]]",1.335,7.25,390.0,9,2,0.14285714285714285,0_07_
1006300,1,"[[303457, 1801045]]",1.4500000000000002,6.5,341.5,7,2,0.14285714285714285,0_07_
1006400,1,"[[1792604, 283640]]",1.665,8.25,465.5,2,2,0.14285714285714285,0_07_
1008300,1,"[[283647, 1804544]]",1.245,6.25,374.0,6,2,0.14285714285714285,0_07_
1011900,1,"[[1804590, 1801353]]",0.55,4.25,140.0,6,2,0.14285714285714285,0_07_
1003601,1,"[[285665, 1795256]]",3.48,13.0,821.5,2,2,0.2,0_08_
1006400,1,"[[286082, 1071768]]",1.33,6.5,307.0,3,2,0.2,0_08_
1006500,1,"[[1795802, 1064936]]",2.95,14.5,1020.5,4,2,0.2,0_08_
1010100,1,"[[1077335, 1795050, 287252]]",1.05,5.333333333333333,231.33333333333334,4,3,0.2,0_08_
1012102,1,"[[1059146, 285038]]",0.53,4.5,210.5,2,2,0.2,0_08_
1003700,1,"[[290700, 1828042]]",1.2349999999999999,6.75,340.5,8,2,0.3333333333333333,0_09_
1006600,1,"[[287106, 286928]]",1.51,7.25,360.0,2,2,0.3333333333333333,0_09_
1008400,1,"[[1808717, 1828051]]",0.75,5.0,211.0,2,2,0.3333333333333333,0_09_
1003800,1,"[[1828640, 1808780, 292525]]",2.5733333333333337,10.5,601.3333333333334,9,3,0.25,0_10_
1005502,1,"[[292065, 288176]]",2.005,8.75,450.0,2,2,0.25,0_10_
1010000,2,"[[1795850, 1066657], [1827790, 1078673]]",0.775,5.25,230.25,4,4,0.5,0_10_
1003602,1,"[[1828851, 1844642]]",0.7,4.75,198.5,2,2,0.04,0_11_
1004800,1,"[[1059298, 1845527]]",0.6499999999999999,5.0,248.0,3,2,0.04,0_11_
1006800,1,"[[296675, 296587]]",1.175,7.0,420.0,2,2,0.04,0_11_
1007600,2,"[[1795755, 1063899], [299103, 297774]]",0.6275,4.625,216.25,11,4,0.08,0_11_
1007800,1,"[[294369, 296434]]",0.64,4.75,180.0,3,2,0.04,0_11_
1009000,1,"[[1800883, 1072259]]",1.7,8.5,518.5,2,2,0.04,0_11_
1009200,1,"[[298412, 1823956]]",0.94,5.75,298.0,3,2,0.04,0_11_
1009400,1,"[[1861613, 292407]]",0.45,3.75,140.5,2,2,0.04,0_11_
1010100,2,"[[294690, 1077549], [1828789, 1063456]]",1.2374999999999998,6.625,346.25,11,4,0.08,0_11_
1010601,1,"[[296245, 1059302]]",1.145,7.25,484.0,2,2,0.04,0_11_
1011000,1,"[[1828045, 301846]]",1.3050000000000002,6.0,302.0,2,2,0.04,0_11_
1011300,3,"[[290982, 1059795], [298320, 1799696], [1059343, 291360]]",0.9466666666666667,6.0,327.3333333333333,7,6,0.12,0_11_
1011500,1,"[[1829437, 297579]]",0.52,4.25,198.5,2,2,0.04,0_11_
1011900,1,"[[290991, 291364, 1065013]]",0.9166666666666666,5.333333333333333,256.0,7,3,0.04,0_11_
1012000,1,"[[298306, 1797278]]",0.7050000000000001,4.5,214.5,2,2,0.04,0_11_
1012500,1,"[[284117, 311990]]",1.0350000000000001,5.5,270.0,2,2,0.04,0_11_
1013100,2,"[[294759, 1065047], [1845473, 1063716]]",1.1375,5.625,261.0,4,4,0.08,0_11_
1015302,1,"[[1809263, 1064490]]",0.6,4.25,144.0,2,2,0.04,0_11_
1016700,1,"[[1073691, 309510]]",2.38,10.5,610.0,3,2,0.04,0_11_
1017900,1,"[[301548, 1064486]]",2.02,8.5,449.5,2,2,0.04,0_11_
1002201,1,"[[310153, 284088]]",1.415,7.0,360.0,6,2,0.01282051282051282,0_12_
1002800,1,"[[290230, 1800626]]",1.8900000000000001,7.75,440.0,2,2,0.01282051282051282,0_12_
1004300,1,"[[284099, 1064689]]",2.795,11.25,648.0,2,2,0.01282051282051282,0_12_
1004400,1,"[[1064484, 1075125, 323732]]",0.9866666666666667,5.666666666666667,282.6666666666667,8,3,0.01282051282051282,0_12_
1005200,1,"[[1087767, 323450]]",2.225,9.25,519.5,2,2,0.01282051282051282,0_12_
1006200,1,"[[1031667, 1843897]]",1.4,6.5,310.5,2,2,0.01282051282051282,0_12_
1006400,2,"[[1843900, 1076323, 326821], [1058871, 1067395]]",2.6083333333333334,10.75,627.75,7,5,0.02564102564102564,0_12_
1006600,1,"[[1855382, 308834]]",1.165,6.0,299.0,4,2,0.01282051282051282,0_12_
1007001,1,"[[1076119, 291903]]",0.88,5.75,341.0,7,2,0.01282051282051282,0_12_
1007200,1,"[[1087616, 285991, 1076699]]",1.3633333333333333,7.166666666666667,435.3333333333333,8,3,0.01282051282051282,0_12_
1007300,1,"[[1813155, 291411]]",1.4649999999999999,7.5,396.0,6,2,0.01282051282051282,0_12_
1007400,2,"[[1813153, 1076990], [1055081, 1087535]]",0.575,4.25,183.0,4,4,0.02564102564102564,0_12_
1007500,1,"[[1060380, 1076075]]",1.15,5.75,276.0,2,2,0.01282051282051282,0_12_
1008800,2,"[[1073420, 309304], [287907, 1057770]]",1.4775,7.625,480.25,5,4,0.02564102564102564,0_12_
1009200,2,"[[1797780, 1846071], [1064485, 292765]]",0.895,5.75,323.5,4,4,0.02564102564102564,0_12_
1009400,1,"[[1072268, 1855146]]",0.85,5.25,231.5,2,2,0.01282051282051282,0_12_
1009800,1,"[[1844689, 1794782]]",1.6,8.25,507.0,2,2,0.01282051282051282,0_12_
1010000,1,"[[1844541, 326589]]",1.285,7.25,461.0,2,2,0.01282051282051282,0_12_
1010100,17,"[[1813419, 1066044, 1843627], [309305, 1797574, 1076964], [1796552, 1809154], [290232, 366140, 1077493], [1076145, 1076031], [1057123, 326251], [1809544, 290124, 1088320], [310238, 1812288], [289640, 1797782], [1799737, 1797214], [1797579, 1799874, 1795773], [1076891, 324507], [1087176, 287172], [1845678, 310931, 1796667], [1843632, 303007, 1824074], [310236, 1797282], [1073544, 1808872]]",1.3311764705882352,6.78921568627451,370.5686274509804,54,41,0.21794871794871795,0_12_
1010400,1,"[[311149, 310189]]",0.9,5.25,270.0,4,2,0.01282051282051282,0_12_
1011202,1,"[[1796505, 1809630]]",0.85,5.0,228.0,2,2,0.01282051282051282,0_12_
1011300,8,"[[302331, 1063614], [1058862, 1072383], [309082, 283719], [1063545, 1797065], [1072812, 1102433], [1809148, 322795, 1845007, 311720], [1795899, 1076548], [323585, 310042]]",0.8765625,5.546875,280.96875,27,18,0.10256410256410256,0_12_
1011500,3,"[[290723, 1064786], [1845682, 1099153, 1064449, 290245], [289475, 1855534, 289123]]",1.0769444444444445,6.055555555555556,339.97222222222223,15,9,0.038461538461538464,0_12_
1011900,2,"[[1797275, 1828602], [310126, 1809341]]",0.985,5.625,297.0,6,4,0.02564102564102564,0_12_
1012000,2,"[[1828787, 1809574, 323806], [284120, 1845559]]",0.8375,5.75,331.5,13,5,0.02564102564102564,0_12_
1012101,1,"[[1813378, 1801529]]",0.6,4.5,170.0,2,2,0.01282051282051282,0_12_
1012500,2,"[[1075582, 289069], [325244, 287570]]",1.3900000000000001,7.125,463.5,9,4,0.02564102564102564,0_12_
1012700,1,"[[328131, 1075712]]",1.575,7.5,465.5,2,2,0.01282051282051282,0_12_
1013100,1,"[[1844694, 1056085]]",1.1,14.75,264.0,2,2,0.01282051282051282,0_12_
1013202,1,"[[1797100, 1088563, 291414, 1082340]]",1.1825,6.375,331.75,4,4,0.01282051282051282,0_12_
1013400,2,"[[1794956, 1812252], [1072463, 289957]]",1.6275,7.5,382.75,9,4,0.02564102564102564,0_12_
1013602,1,"[[302130, 1809629]]",0.675,4.75,214.5,6,2,0.01282051282051282,0_12_
1013700,3,"[[310896, 1799978, 295138], [1087914, 1797079], [1828786, 310734, 1082344]]",0.8766666666666666,5.111111111111111,248.44444444444446,13,8,0.038461538461538464,0_12_
1014000,1,"[[288218, 1087779]]",3.01,11.5,688.0,2,2,0.01282051282051282,0_12_
1014402,1,"[[1076312, 1813648, 289477]]",2.57,10.666666666666666,626.3333333333334,3,3,0.01282051282051282,0_12_
1014500,2,"[[1844640, 1797059], [1809470, 284383]]",1.5750000000000002,7.375,420.25,4,4,0.02564102564102564,0_12_
1014801,1,"[[1813420, 1088147]]",1.0,6.0,299.0,2,2,0.01282051282051282,0_12_
1015002,1,"[[1057040, 283884]]",0.8200000000000001,5.25,261.0,2,2,0.01282051282051282,0_12_
1015502,1,"[[292511, 1087877]]",1.46,7.0,387.0,2,2,0.01282051282051282,0_12_
1016700,2,"[[1797047, 1075307, 1076638], [288345, 290027]]",1.7208333333333332,8.125,449.0,5,5,0.02564102564102564,0_12_
1018300,1,"[[365770, 287298, 343669]]",3.2866666666666666,12.666666666666666,740.0,5,3,0.01282051282051282,0_12_
1000900,1,"[[343395, 291037]]",1.0750000000000002,5.75,270.0,7,2,0.004975124378109453,0_13_
1001800,1,"[[1062279, 291900]]",2.5700000000000003,10.5,640.0,7,2,0.004975124378109453,0_13_
1002100,1,"[[1800550, 1062546]]",1.25,7.25,455.5,2,2,0.004975124378109453,0_13_
1003001,1,"[[323087, 300564]]",2.35,10.75,720.0,2,2,0.004975124378109453,0_13_
1003100,1,"[[1058656, 1063018]]",3.9,14.0,861.0,3,2,0.004975124378109453,0_13_
1003300,1,"[[291244, 1059430]]",0.715,4.75,210.0,7,2,0.004975124378109453,0_13_
1003400,1,"[[1062225, 1061721]]",2.95,12.25,793.5,2,2,0.004975124378109453,0_13_
1004002,1,"[[330471, 1806017]]",2.435,10.5,645.5,3,2,0.004975124378109453,0_13_
1004200,1,"[[315809, 1811881]]",1.6600000000000001,8.0,493.5,2,2,0.004975124378109453,0_13_
1004300,2,"[[282709, 1082643], [1057121, 378850]]",1.525,7.625,391.0,4,4,0.009950248756218905,0_13_
1004800,4,"[[297253, 331641], [1811989, 354378], [1082343, 295561], [299896, 290098]]",1.8425,8.0,455.75,9,8,0.01990049751243781,0_13_
1005400,2,"[[342878, 1801875], [1061900, 1061694]]",1.4400000000000002,6.5,313.0,4,4,0.009950248756218905,0_13_
1005900,1,"[[1077693, 291523]]",2.05,8.75,458.5,2,2,0.004975124378109453,0_13_
1006100,1,"[[1806535, 1056643]]",1.25,6.25,315.0,2,2,0.004975124378109453,0_13_
1006300,1,"[[1083519, 291047]]",1.92,8.25,491.5,3,2,0.004975124378109453,0_13_
1006400,2,"[[1058631, 1845653], [1061486, 291119]]",1.7375,7.75,423.5,8,4,0.009950248756218905,0_13_
1006500,2,"[[1806617, 295005, 1077692], [1058230, 1062062]]",1.6283333333333334,7.916666666666666,437.0,5,5,0.009950248756218905,0_13_
1006600,2,"[[286685, 1058929], [1087997, 366233, 299314]]",1.85,7.916666666666666,431.0,12,5,0.009950248756218905,0_13_
1006700,1,"[[303857, 1072543]]",2.34,9.25,515.5,2,2,0.004975124378109453,0_13_
1006800,3,"[[296893, 1801548], [300794, 291135], [1062632, 1071828]]",0.9916666666666667,5.916666666666667,323.6666666666667,14,6,0.014925373134328358,0_13_
1006900,1,"[[1063021, 1061492]]",2.5,10.25,631.5,2,2,0.004975124378109453,0_13_
1007002,2,"[[1062272, 296538], [365012, 1099353]]",0.9824999999999999,5.625,245.5,9,4,0.009950248756218905,0_13_
1007100,1,"[[308435, 300433]]",2.165,9.25,540.0,6,2,0.004975124378109453,0_13_
1007200,3,"[[1796927, 1062330], [291301, 292040], [1801089, 1049759]]",0.9066666666666667,5.916666666666667,347.8333333333333,9,6,0.014925373134328358,0_13_
1007300,1,"[[354302, 290372]]",2.3099999999999996,9.5,510.0,3,2,0.004975124378109453,0_13_
1007400,5,"[[300567, 300869], [1068470, 352675], [296635, 1077607, 299045], [331617, 1082644], [1087629, 1797146]]",1.2146666666666666,6.15,290.43333333333334,17,11,0.024875621890547265,0_13_
